Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Taphrinomycetes,147555,17,80,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Taphrinomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;4890;451866;147555
Taphrinomycotina.U.family,451866,17,110,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Taphrinomycotina.U.family,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;original_name,131567;2759;33154;4751;451864;4890;451866;451866
Amphitraemidae,1287649,16,60,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Amphitremida;Amphitraemidae,cellular root;domain;clade;clade;class;subclass;order;family,131567;2759;2698737;33634;2683628;35131;1287658;1287649
Arthropoda_XX,6656,16,24,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Arthropoda_XX,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;original_name,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6656
Chloropicaceae,2302913,15,50,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2759;33090;3041;2302911;2302912;2302913
Gregarinomorphea.U.family,NA,15,80,Gregarinomorphea.U.family,original_name,NA
MAST-12,NA,15,27,MAST-12,original_name,NA
Phaeodactylaceae,38749,15,37,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Naviculales;Phaeodactylaceae,cellular root;domain;clade;clade;clade;phylum;class;clade;order;family,131567;2759;2698737;33634;2696291;2836;33849;33850;38748;38749
Allobodonidae,NA,14,30,,,
Dinophyceae_XX,2864,14,19,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Dinophyceae_XX,cellular root;domain;clade;clade;class;original_name,131567;2759;2698737;33630;2864;2864
OLIGO2,NA,13,158,OLIGO2,original_name,NA
Ostreoida,6562,13,29,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Ostreida,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;clade;order,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6544;2785011;6545;6562
Scyphozoa,6142,13,32,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Scyphozoa,cellular root;domain;clade;kingdom;clade;phylum;class,131567;2759;33154;33208;6072;6073;6142
Aphelidiaceae,2689233,12,17,cellular organisms;Eukaryota;Opisthokonta;Aphelida;Aphelidea;Aphelidiaceae,cellular root;domain;clade;clade;class;family,131567;2759;33154;2316435;1498967;2689233
Cercozoa_XXX,136419,12,21,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercozoa_XXX,cellular root;domain;clade;clade;phylum;original_name,131567;2759;2698737;543769;136419;136419
Chytridiomycetaceae,NA,12,82,,,
Dino-Group-II_X,NA,12,29,Dino-Group-II_X,original_name,NA
Kickxellales,4861,12,40,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales,cellular root;domain;clade;kingdom;no rank;phylum;subphylum;class;order,131567;2759;33154;4751;112252;1913638;451828;2219690;4861
