family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Veneridae,0,0,0.0,0.0,19,14,19,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Vireonidae,0,0,0.0,0.0,19,19,18,0.04,0.09,94.74,,,0,0,0,ncbi_only,Eukaryota,0.0
Chromulinaceae,0,0,0.0,0.0,18,7,8,0.04,0.03,44.44,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhamnaceae,0,0,0.0,0.0,18,6,17,0.04,0.03,94.44,,,0,0,0,ncbi_only,Eukaryota,0.0
Chytriomycetaceae,0,0,0.0,0.0,18,14,18,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Brachionidae,0,0,0.0,0.0,18,10,18,0.04,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lauraceae,0,0,0.0,0.0,18,9,18,0.04,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cystobasidiaceae,0,0,0.0,0.0,18,12,18,0.04,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Adinetidae,0,0,0.0,0.0,18,3,18,0.04,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zingiberaceae,0,0,0.0,0.0,18,15,18,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Isotrichidae,0,0,0.0,0.0,18,5,18,0.04,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stephanodiscaceae,0,0,0.0,0.0,18,14,18,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Laminariaceae,0,0,0.0,0.0,17,12,17,0.03,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Taeniidae,0,0,0.0,0.0,17,12,16,0.03,0.06,94.12,,,0,0,0,ncbi_only,Eukaryota,0.0
Entamoebidae,0,0,0.0,0.0,17,5,17,0.03,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
