genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Lachancea,0,0,0.0,0.0,131,13,131,0.26,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Torulaspora,0,0,0.0,0.0,121,13,120,0.24,0.06,99.17,,,0,0,0,ncbi_only,Eukaryota,0.0
Cryphonectria,0,0,0.0,0.0,115,7,115,0.23,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anopheles,0,0,0.0,0.0,114,46,114,0.23,0.22,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neolamprologus,0,0,0.0,0.0,113,56,111,0.23,0.27,98.23,,,0,0,0,ncbi_only,Eukaryota,0.0
Sebastes,0,0,0.0,0.0,112,80,112,0.22,0.39,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichophyton,0,0,0.0,0.0,104,14,104,0.21,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Claviceps,0,0,0.0,0.0,104,34,104,0.21,0.16,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Clavispora,0,0,0.0,0.0,102,9,100,0.2,0.04,98.04,,,0,0,0,ncbi_only,Eukaryota,0.0
Talaromyces,0,0,0.0,0.0,97,54,97,0.19,0.26,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pyrenophora,0,0,0.0,0.0,91,4,91,0.18,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nakaseomyces,0,0,0.0,0.0,90,7,89,0.18,0.03,98.89,,,0,0,0,ncbi_only,Eukaryota,0.0
Triticum,0,0,0.0,0.0,89,6,89,0.18,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Globisporangium,0,0,0.0,0.0,87,48,87,0.17,0.23,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ophidiomyces,0,0,0.0,0.0,86,1,86,0.17,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paecilomyces,0,0,0.0,0.0,84,19,84,0.17,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Citrus,0,0,0.0,0.0,84,25,84,0.17,0.12,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Yarrowia,0,0,0.0,0.0,83,19,83,0.17,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cryptosporidium,0,0,0.0,0.0,83,20,82,0.17,0.1,98.8,,,0,0,0,ncbi_only,Eukaryota,0.0
Yamadazyma,0,0,0.0,0.0,81,59,81,0.16,0.29,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Entrophospora,0,0,0.0,0.0,79,2,79,0.16,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Botrytis,0,0,0.0,0.0,78,16,78,0.16,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mus,0,0,0.0,0.0,78,6,78,0.16,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Wickerhamomyces,0,0,0.0,0.0,78,45,78,0.16,0.22,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
